DESTINATION,NAME,DESCRIPTION,SM/REFERENCE LINKS,LOCATION (Google Maps Link),Type,Tags,Area
Riyadh,Riyadh National Zoo,"Visit Riyadh Zoo, Saudi Arabia’s largest and oldest, home to 1,300 animals from 190 species, offering train rides and performances.",https://www.instagram.com/riyadh_zoo/?hl=en,https://maps.app.goo.gl/34sCFXjAAZe3ydKq7,tourist place,"family, animals, outdoor, kids, park","Salah Al Din Al Ayyubi St, Al Malaz, Riyadh"
Riyadh,Via Riyadh,"VIA Riyadh offers luxury with the St. Regis hotel, designer stores, top restaurants, and the exclusive Renaissance cinema experience.",https://www.instagram.com/viariyadh?igshid=MWI4MTIyMDE%3D,https://maps.app.goo.gl/F8WZScoeq82hSVRx7,tourist place,"luxury, restaurants, cafes, shopping, entertainment","Al Hada, Riyadh"
Riyadh,Murabba Palace,"Al Murabba Historical Palace in Riyadh is a symbol of the city’s rich history, preserving memories of key historical events.",https://www.visitsaudi.com/en/riyadh/attractions/al-murabba-palace,https://maps.app.goo.gl/puMFxDmYi7XLU8Hf9,tourist place,"heritage, history, palace, culture","King Saud Rd, Al Murabba, Riyadh"
Riyadh,Addoho Neighborhood,"Addoho Neighborhood is the last old neighborhood preserving its traditional Najdi architecture, but with modern amenities.",https://www.visitsaudi.com/en/riyadh/attractions/addoho-neighborhood,https://maps.app.goo.gl/W127KHWHzhngPydeA,tourist place,"heritage, traditional, culture","Al Dirah, Riyadh"
Riyadh,Wadi Namar Waterfall,"Wadi Namar Waterfall and Dam Park in Riyadh is a beautiful green area with lovely views, picnic sites, and fun activities.",https://welcomesaudi.com/activity/wadi-namer-waterfall-riyadh,https://maps.app.goo.gl/3gmocWFrwSRvEpsE7,tourist place,"nature, waterfall, lake, picnic, outdoor","Al-Tirmidhi St, Namar, Riyadh"
Riyadh,Al Masmak Palace Museum,"Al Masmak Fortress, built during Imam Abdullah's reign, is a historic monument celebrating the unification of Saudi Arabia.",https://heritage.moc.gov.sa/en/locations/al-masmak,https://maps.app.goo.gl/foshW8xFANi9i2gp9,museum,"heritage, history, fortress, museum","Al Thumairi St, Ad Dirah, Riyadh"
Riyadh,National Museum Of Saudi Arabia,"Explore Saudi Arabia’s history at the National Museum, featuring over 3,700 artifacts of Islamic heritage across 17,000 square meters.",https://www.instagram.com/saudimuseum/,https://maps.app.goo.gl/oK4ToeS9xummkrpT9,museum,"history, culture, museum, heritage","King Faisal Rd, Al Murabba, Riyadh"
Riyadh,Jax District,"This trendy Diriyah neighborhood offers street art, galleries, and creative studios, hosting festivals like MDLBEAST and Noor Riyadh.",https://www.jaxdistrict.com/,https://maps.app.goo.gl/ia2tN8tZ7NND3UYS9,tourist place,"art, galleries, culture, creative","Jax, Diriyah"
Riyadh,At-Turaif World Heritage Site,"The UNESCO World Heritage At-Turaif Site features mud-brick palaces, mosques, museums, and Najdi architecture.",https://www.diriyah.sa/en/at-turaif,https://maps.app.goo.gl/fcNSBtRKAeAAvp7S8,landmark,"heritage, unesco, history, culture","At-Turaif, Diriyah"
Riyadh,Diriyah History Museum,"Visit Diriyah Museum to explore an 18th-century palace, showcasing the history of the region, the House of Saud, and Najdi architecture.",https://www.diriyah.sa/en/,https://maps.app.goo.gl/AJV7sE2o2Aifc3kV6,museum,"history, heritage, museum, culture","At-Turaif, Diriyah"
